time_step,site1,site2,site3
1,-25.884299799233673,0.8140222246581686,0.127993687
2,-22.037477889463304,0.8140222246581686,0.12259195599999999
3,-23.96088884434849,-1.1001485770791775,0.116939233
4,-23.96088884434849,-3.0143193788165235,0.11018433799999999
5,-23.96088884434849,-3.0143193788165235,0.10734707
6,-23.96088884434849,-3.0143193788165235,0.105775655
7,-23.96088884434849,-1.1001485770791775,0.105775655
8,-23.96088884434849,-3.0143193788165235,0.104258817
9,-23.96088884434849,-3.0143193788165235,0.099773743
10,-23.96088884434849,-3.0143193788165235,0.096248975
11,-23.96088884434849,-3.0143193788165235,0.0884792186
12,-23.96088884434849,-3.0143193788165235,0.0858602078
13,-23.96088884434849,-3.0143193788165235,0.0880318041
14,-23.96088884434849,-3.0143193788165235,0.08792267890000001
15,-23.96088884434849,-3.0143193788165235,0.0834376124
16,-23.96088884434849,-4.92849018055387,0.0800328763
17,-23.96088884434849,-3.0143193788165235,0.0773047404
18,-23.96088884434849,-4.92849018055387,0.0734089483
19,-23.96088884434849,-4.92849018055387,0.0705389382
20,-22.037477889463304,-3.0143193788165235,0.0695786397
21,-22.037477889463304,-3.0143193788165235,0.0677234979
22,-22.037477889463304,-4.92849018055387,0.0645151914
23,-23.96088884434849,-4.92849018055387,0.0612305016
24,-22.037477889463304,-6.842660982291216,0.0597354841
25,-22.037477889463304,-6.842660982291216,0.0543555778
26,-22.037477889463304,-6.842660982291216,0.049412179199999996
27,-22.037477889463304,-6.842660982291216,0.0422753494
28,-20.11406693457812,-8.756831784028561,0.0381613141
29,-22.037477889463304,-8.756831784028561,0.11884893099999999
30,-22.037477889463304,-8.756831784028561,0.175932641
31,-22.037477889463304,-8.756831784028561,0.241877359
32,-23.96088884434849,-10.671002585765907,0.316039262
33,-22.037477889463304,-10.671002585765907,0.41791909699999996
34,-20.11406693457812,-8.756831784028561,0.5334641170000001
35,-22.037477889463304,-8.756831784028561,0.657854855
36,-22.037477889463304,-8.756831784028561,0.799811914
37,-22.037477889463304,-8.756831784028561,0.942537326
38,-22.037477889463304,-8.756831784028561,1.0861412
39,-22.037477889463304,-8.756831784028561,1.23391692
40,-22.037477889463304,-10.671002585765907,1.3787286
41,-22.037477889463304,-10.671002585765907,1.49049367
42,-22.037477889463304,-10.671002585765907,1.64233165
43,-22.037477889463304,-12.585173387503252,1.76046444
44,-22.037477889463304,-12.585173387503252,1.9263554800000002
45,-22.037477889463304,-10.671002585765907,2.12628106
46,-22.037477889463304,-12.585173387503252,2.33213495
47,-22.037477889463304,-12.585173387503252,2.59244462
48,-22.037477889463304,-12.585173387503252,2.8246477100000003
49,-22.037477889463304,-12.585173387503252,3.04971491
50,-22.037477889463304,-12.585173387503252,3.2841142
51,-22.037477889463304,-12.585173387503252,3.45483591
52,-22.037477889463304,-12.585173387503252,3.58010516
53,-23.96088884434849,-14.499344189240599,3.74621527
54,-22.037477889463304,-14.499344189240599,3.8713751599999995
55,-22.037477889463304,-14.499344189240599,3.99653436
56,-22.037477889463304,-14.499344189240599,3.8754369599999996
57,-23.96088884434849,-14.499344189240599,3.71525516
58,-22.037477889463304,-16.413514990977944,3.2510674799999997
59,-22.037477889463304,-16.413514990977944,3.2156056
60,-23.96088884434849,-16.413514990977944,3.13381315
61,-22.037477889463304,-16.413514990977944,3.02226795
62,-22.037477889463304,-16.413514990977944,2.9472817
63,-22.037477889463304,-16.413514990977944,2.8651597900000003
64,-22.037477889463304,-16.413514990977944,2.80071367
65,-22.037477889463304,-14.499344189240599,2.7708513200000002
66,-22.037477889463304,-14.499344189240599,2.69784164
67,-22.037477889463304,-16.413514990977944,2.58552745
68,-22.037477889463304,-14.499344189240599,2.52920609
69,-22.037477889463304,-16.413514990977944,2.46695549
70,-22.037477889463304,-14.499344189240599,2.40492477
71,-22.037477889463304,-14.499344189240599,2.32357115
72,-22.037477889463304,-14.499344189240599,2.18886066
73,-23.96088884434849,-14.499344189240599,2.0472330100000002
74,-22.037477889463304,-14.499344189240599,1.9580843399999999
75,-22.037477889463304,-14.499344189240599,1.9028605
76,-22.037477889463304,-14.499344189240599,1.80240363
77,-22.037477889463304,-16.413514990977944,1.76397748
78,-22.037477889463304,-14.499344189240599,1.7312605699999999
79,-22.037477889463304,-14.499344189240599,1.7298332299999999
80,-22.037477889463304,-14.499344189240599,1.6926147699999998
81,-22.037477889463304,-14.499344189240599,1.60719912
82,-22.037477889463304,-14.499344189240599,1.5647108299999999
83,-22.037477889463304,-14.499344189240599,1.51343943
84,-22.037477889463304,-14.499344189240599,1.48346703
85,-20.11406693457812,-14.499344189240599,1.2156920100000002
86,-20.11406693457812,-16.413514990977944,1.1544298100000001
87,-20.11406693457812,-16.413514990977944,1.10008443
88,-20.11406693457812,-14.499344189240599,1.08196923
89,-20.11406693457812,-16.413514990977944,1.0342111
90,-20.11406693457812,-16.413514990977944,0.957029556
91,-20.11406693457812,-16.413514990977944,0.8922540360000001
92,-20.11406693457812,-18.32768579271529,0.835273681
93,-20.11406693457812,-16.413514990977944,0.7861980860000001
94,-20.11406693457812,-18.32768579271529,0.737891014
95,-20.11406693457812,-18.32768579271529,0.695402719
96,-20.11406693457812,-16.413514990977944,0.633152411
97,-20.11406693457812,-18.32768579271529,0.585174632
98,-18.190655979692934,-18.32768579271529,0.547736647
99,-20.11406693457812,-18.32768579271529,0.505467938
100,-20.11406693457812,-18.32768579271529,0.45683143
